location,restaurant
BTM,516
Banashankari,219
Banaswadi,143
Bannerghatta Road,335
Basavanagudi,174
Basaveshwara Nagar,67
Bellandur,266
Bommanahalli,52
Brigade Road,106
Brookefield,140
CV Raman Nagar,29
Central Bangalore,2
Church Street,54
City Market,21
Commercial Street,34
Cunningham Road,47
Domlur,76
East Bangalore,15
Ejipura,34
Electronic City,438
Frazer Town,144
HBR Layout,28
HSR,512
Hebbal,4
Hennur,48
Hosur Road,10
"ITPL Main Road, Whitefield",34
Indiranagar,440
Infantry Road,13
JP Nagar,373
Jalahalli,15
Jayanagar,298
Jeevan Bhima Nagar,72
KR Puram,8
Kaggadasapura,50
Kalyan Nagar,192
Kammanahalli,127
Kanakapura Road,10
Kengeri,1
Koramangala,6
Koramangala 1st Block,113
Koramangala 2nd Block,8
Koramangala 3rd Block,19
Koramangala 4th Block,104
Koramangala 5th Block,242
Koramangala 6th Block,134
Koramangala 7th Block,130
Koramangala 8th Block,31
Kumaraswamy Layout,66
Langford Town,2
Lavelle Road,52
MG Road,82
Magadi Road,16
Majestic,61
Malleshwaram,199
Marathahalli,495
Mysore Road,8
Nagarbhavi,1
Nagawara,85
New BEL Road,216
North Bangalore,4
Old Airport Road,108
Old Madras Road,9
Peenya,1
RT Nagar,40
Race Course Road,29
Rajajinagar,172
Rajarajeshwari Nagar,2
Rammurthy Nagar,15
Residency Road,73
Richmond Road,67
Sadashiv Nagar,28
Sahakara Nagar,40
Sanjay Nagar,30
Sankey Road,12
Sarjapur Road,255
Seshadripuram,46
Shanti Nagar,51
Shivajinagar,34
South Bangalore,19
St. Marks Road,34
Thippasandra,51
Ulsoor,93
Uttarahalli,8
"Varthur Main Road, Whitefield",30
Vasanth Nagar,42
Vijay Nagar,50
West Bangalore,2
Whitefield,588
Wilson Garden,32
Yelahanka,3
Yeshwantpur,64
